date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:51	390404/390404	---M--	200	added ('OK')	image/jpeg	etag:%225503075f-5f504%22	http://s.tmimgcdn.com/img/landing/videoheader-opencart.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/landing/videoheader-opencart312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:53	20647/20647	---M--	200	added ('OK')	image/png	etag:%225513cc3c-50a7%22	http://s.tmimgcdn.com/img/wp-letters-paper-plane.png?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/wp-letters-paper-plane312d.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:53	12381/12381	---M--	200	added ('OK')	image/jpeg	etag:%225513cc3c-305d%22	http://s.tmimgcdn.com/img/wp-letters-header-bg.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/wp-letters-header-bg312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:54	568/568	---M--	200	added ('OK')	image/png	etag:%2254c64934-238%22	http://s.tmimgcdn.com/img/wp-phone.png?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/wp-phone312d.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:54	24202/24202	---M--	200	added ('OK')	image/jpeg	etag:%2254b65f0b-5e8a%22	http://s.tmimgcdn.com/img/wp-affiliate-step1-bg.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/wp-affiliate-step1-bg312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:57	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202017%2007:12:56%20GMT	http://s.tmimgcdn.com/css/mCSB_buttons.png	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/css/mCSB_buttons.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:58	2258/2258	---M--	200	added ('OK')	image/jpeg	etag:%225458a905-8d2%22	http://s.tmimgcdn.com/img/cstmz-serv2.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/cstmz-serv2312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:59	25828/25828	---M--	200	added ('OK')	image/jpeg	etag:%22642d-8fee-54324f15f2ad5%22	https://www.templatemonster.com/wp-content/uploads/2016/12/bg_unsubscribe_page.jpg	E:/My%20Web%20Sites/spare/www.templatemonster.com/wp-content/uploads/2016/12/bg_unsubscribe_page.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:59	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202017%2007:12:58%20GMT	http://s.tmimgcdn.com/img/pp-cstmz-serv1.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/pp-cstmz-serv1312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:13:05	136512/136512	---MC-	502	error ('Bad%20Gateway')	text/html	date:Mon,%2017%20Apr%202017%2007:12:57%20GMT	https://www.templatemonster.com/widget.css	E:/My%20Web%20Sites/spare/www.templatemonster.com/widget.html	(from https://s.tmimgcdn.com/js/varnish.compiled.application.en.js?d=7118e19)
10:13:24	433799/433799	---M--	200	added ('OK')	image/png	etag:%22562a409e-69e87%22	http://s.tmimgcdn.com/img/landing/header-monstroid.png?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/landing/header-monstroid312d.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:13:40	645442/645442	---M--	200	added ('OK')	image/jpeg	etag:%2254ec9449-9d942%22	http://s.tmimgcdn.com/img/landing/videoheader-prestashop.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/landing/videoheader-prestashop312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
